,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
211,Kruisfontein,0,ZA,1563761651,30,-34.0,24.73,51.59,12.75
212,Luderitz,0,NA,1563762032,65,-26.65,15.16,57.71,5.82
213,Kavieng,24,PG,1563762033,68,-2.57,150.8,83.81,5.55
214,Malanje,0,AO,1563762035,92,-9.54,16.35,54.83,2.68
215,Madimba,40,CM,1563762039,100,4.42,9.93,75.2,2.24
216,Padang,12,ID,1563762040,78,-0.92,100.36,80.75,6.35
217,Smithers,75,CA,1563762041,87,54.78,-127.17,57.2,8.05
218,Naze,85,NG,1563762043,98,5.43,7.07,72.29,4.23
219,Malibu,75,MX,1563762044,69,16.77,-93.16,80.6,11.41
220,Samarai,99,PG,1563762045,92,-10.62,150.67,74.99,7.94
221,Zacualtipan,100,MX,1563761789,95,20.65,-98.6,60.95,4.21
222,Cabo San Lucas,20,MX,1563761570,74,22.89,-109.91,84.0,5.82
223,Upata,100,VE,1563762049,88,8.02,-62.41,77.0,1.99
224,Saint-Joseph,0,FR,1563762050,88,43.56,6.97,75.0,4.7
225,Thaton,100,MM,1563762051,86,16.91,97.37,80.21,16.17
226,Prince Rupert,75,CA,1563762053,82,54.32,-130.32,62.6,3.36
227,Bambanglipuro,90,ID,1563762054,81,-7.95,110.28,76.07,14.07
228,Aswan,0,EG,1563762055,28,24.09,32.9,86.0,13.87
229,Trincomalee,100,LK,1563762056,68,8.58,81.23,81.29,9.46
230,Tadine,70,NC,1563762058,64,-21.55,167.88,68.51,17.43
231,Krasnokamensk,6,RU,1563762059,55,50.1,118.04,71.39,12.8
232,Butaritari,21,KI,1563761645,69,3.07,172.79,84.89,8.55
233,Surt,0,LY,1563761763,74,31.21,16.59,77.51,10.78
234,Villeta,0,PY,1563762062,50,-25.51,-57.57,77.0,17.22
235,Camopi,66,GF,1563762064,99,3.17,-52.33,69.77,1.97
236,Eagle Pass,1,MX,1563761942,36,28.71,-100.5,96.8,10.29
237,Bilma,0,NE,1563762066,40,18.69,12.92,85.43,11.03
238,Mae Tha,75,TH,1563762067,78,18.46,99.14,88.0,4.7
239,Bubaque,61,GW,1563762069,84,11.28,-15.83,79.67,13.98
240,Mount Gambier,64,AU,1563762071,62,-37.83,140.78,57.2,20.8
241,Ereymentau,100,KZ,1563762072,61,51.62,73.1,71.93,3.24
242,Barbastro,0,ES,1563762073,44,42.04,0.13,75.2,6.93
243,Chokurdakh,100,RU,1563762074,83,70.62,147.9,39.17,16.78
244,Kalemie,0,CD,1563762075,52,-5.95,29.2,61.31,3.36
245,Darovskoy,68,RU,1563762077,97,58.77,47.96,54.11,7.09
246,Tacna,90,PE,1563762078,82,-18.01,-70.25,60.8,6.93
247,Rio Gallegos,40,AR,1563762079,80,-51.62,-69.22,33.8,11.41
248,Klaksvik,100,FO,1563762080,93,62.23,-6.59,53.6,14.99
249,Port Shepstone,0,ZA,1563762082,18,-30.74,30.45,47.81,6.13
250,Beya,2,RU,1563762083,65,53.05,90.92,64.91,2.82
251,Sainte-Maxime,0,FR,1563762084,88,43.31,6.64,75.0,4.7
252,Bardsir,75,IR,1563762086,14,29.93,56.57,80.6,9.17
253,Xam Nua,100,LA,1563762087,54,20.42,104.04,82.37,4.63
254,Georgetown,40,GY,1563761871,78,6.8,-58.16,82.4,11.41
255,Longyearbyen,75,NO,1563762089,81,78.22,15.63,44.6,18.34
256,Kuvandyk,13,RU,1563762090,68,51.48,57.35,67.43,3.36
257,Shwebo,100,MM,1563762092,81,22.57,95.7,80.57,11.12
258,Takapau,0,NZ,1563762093,76,-40.02,176.35,53.01,2.64
259,Rypefjord,0,NO,1563762094,68,70.63,23.67,66.2,11.41
260,Turbat,12,PK,1563762095,69,26.0,63.05,81.11,0.78
261,Letterkenny,100,IE,1563762097,96,54.95,-7.73,61.13,12.64
262,Muisne,93,EC,1563762098,88,0.61,-80.02,73.73,18.5
263,Chepareria,91,KE,1563762099,73,1.32,35.2,66.35,2.15
264,Asyut,0,EG,1563762100,50,27.18,31.19,78.8,8.05
265,Yulara,0,AU,1563762102,29,-25.24,130.99,62.6,8.05
266,Yellandu,0,IN,1563762103,76,17.59,80.32,83.63,8.95
267,Saint-Francois,0,FR,1563762104,68,46.42,3.91,66.2,1.7
268,Tura,100,RU,1563762106,37,64.27,100.22,69.77,15.12
269,Hammonton,1,US,1563762110,62,39.64,-74.8,90.0,5.82
270,Hervey Bay,75,AU,1563762111,49,-25.3,152.85,78.01,5.82
271,Urusha,100,RU,1563762113,97,54.05,122.9,58.79,6.78
272,Salta,0,AR,1563762032,50,-24.79,-65.41,57.2,3.36
273,Tagusao,77,PH,1563762116,71,9.19,117.81,83.27,5.19
274,Burnie,84,AU,1563762117,70,-41.05,145.91,54.29,11.74
275,Churapcha,0,RU,1563762119,30,62.0,132.43,76.79,3.58
276,Coro,0,VE,1563762129,80,11.41,-69.67,78.77,24.38
277,Mehran,75,IR,1563762130,24,33.12,46.17,78.8,6.93
278,Ustka,6,PL,1563762132,84,54.58,16.86,62.39,14.92
279,Miramar,0,CR,1563762058,73,10.09,-84.73,75.2,9.17
280,Yakeshi,51,CN,1563762134,73,49.28,120.73,66.17,13.6
281,Teguise,90,ES,1563762135,78,29.06,-13.56,71.6,13.87
282,Nizhniy Tsasuchey,1,RU,1563762137,50,50.52,115.13,72.29,11.77
283,Torzhok,0,RU,1563762138,92,57.04,34.97,55.91,2.19
284,Luena,0,AO,1563762139,36,-11.78,19.91,47.81,2.28
285,Ilulissat,40,GL,1563762141,87,69.22,-51.1,46.4,2.24
286,Husavik,0,CA,1563762142,53,50.56,-96.99,66.0,5.99
287,Cidreira,56,BR,1563762144,83,-30.17,-50.22,63.11,7.18
288,Evensk,97,RU,1563762148,60,61.92,159.24,57.89,6.11
289,Wattegama,100,LK,1563762149,95,7.35,80.68,72.65,5.3
290,Hokitika,49,NZ,1563762151,76,-42.72,170.96,55.01,9.51
291,Mogadishu,19,SO,1563761900,77,2.04,45.34,74.09,14.41
292,Iqaluit,90,CA,1563762156,93,63.75,-68.52,42.8,10.29
293,Jamai,0,IN,1563762160,60,22.2,78.55,84.53,4.83
294,Chagoda,0,RU,1563762003,77,59.16,35.33,55.37,2.04
295,Bulawayo,77,ZW,1563762163,86,-20.16,28.59,44.93,8.97
296,Gibara,20,CU,1563762164,83,21.11,-76.13,80.6,8.05
297,Coalinga,75,US,1563762165,30,36.14,-120.36,96.8,5.82
298,Saint-Philippe,1,CA,1563761574,61,45.36,-73.48,77.0,2.04
299,Tacuarembo,18,UY,1563762168,82,-31.73,-55.98,65.99,13.82
300,Antofagasta,90,CL,1563762169,67,-23.65,-70.4,57.2,11.41
301,Guerrero Negro,0,MX,1563762170,88,27.97,-114.04,66.89,14.7
302,Quime,0,BO,1563762172,72,-16.98,-67.22,36.65,1.77
303,Novyy Nekouz,0,RU,1563762173,91,57.91,38.06,55.19,3.69
304,Port Lincoln,100,AU,1563762174,88,-34.72,135.86,56.63,31.59
305,Haljala,0,EE,1563762175,68,59.43,26.27,58.97,6.02
306,Marsa Matruh,0,EG,1563762177,78,31.35,27.25,75.2,5.82
307,Navalmoral de la Mata,0,ES,1563761884,39,39.89,-5.54,80.01,4.65
308,Sandominic,0,RO,1563762179,73,46.58,25.78,63.0,2.91
309,Manyana,0,AU,1563762180,34,-35.26,150.51,66.99,6.93
310,Huntsville,75,US,1563762133,78,34.73,-86.59,81.0,3.36
311,Ostrovnoy,24,RU,1563762183,66,68.05,39.51,56.45,3.09
312,Kargasok,98,RU,1563762184,52,59.06,80.87,65.27,4.03
313,Uarini,27,BR,1563762185,76,-2.98,-65.16,76.25,2.19
314,Khatanga,0,RU,1563762187,28,71.98,102.47,80.39,5.86
315,Labuhan,0,ID,1563762188,43,-2.54,115.51,87.95,2.84
316,Waitati,34,NZ,1563762189,90,-45.75,170.57,50.0,7.0
317,Srednekolymsk,100,RU,1563762191,91,67.46,153.71,38.99,10.56
318,Vangaindrano,0,MG,1563762192,80,-23.35,47.6,50.69,3.24
319,Kudahuvadhoo,100,MV,1563762193,78,2.67,72.89,82.73,14.05
320,Myitkyina,100,MM,1563762194,99,25.38,97.4,73.73,1.5
321,Kununurra,45,AU,1563762196,45,-15.77,128.74,82.4,5.82
322,Nurota,0,UZ,1563762197,22,40.56,65.69,86.0,11.41
323,Port Elizabeth,1,US,1563762102,83,39.31,-74.98,89.6,4.7
324,Meulaboh,88,ID,1563762199,70,4.14,96.13,80.39,6.62
325,Lima,90,PE,1563761941,87,-12.06,-77.04,60.8,10.29
326,Leningradskiy,100,RU,1563762202,98,69.38,178.42,36.29,14.92
327,Hohhot,40,CN,1563762203,88,40.81,111.65,68.0,2.24
328,Vihari,0,PK,1563762204,40,30.03,72.35,98.21,6.53
329,Brewster,20,US,1563762205,88,41.76,-70.08,84.2,11.43
330,Sokoto,100,NG,1563762207,64,13.06,5.24,81.29,10.31
331,Los Llanos de Aridane,90,ES,1563762208,73,28.66,-17.92,71.6,14.99
332,Sivaki,100,RU,1563762209,98,52.63,126.75,64.37,10.83
333,Pundaguitan,100,PH,1563762210,73,6.37,126.17,83.09,10.07
334,Mehamn,66,NO,1563762211,69,71.03,27.85,62.39,14.14
335,Skjervoy,83,NO,1563762213,72,70.03,20.97,58.61,5.73
336,Kroya,36,ID,1563762214,44,-6.5,108.06,88.85,6.08
337,Astaneh-ye Ashrafiyeh,40,IR,1563762218,88,37.26,49.94,73.4,3.85
338,Opatija,7,HR,1563762220,88,45.33,14.3,79.0,4.7
339,Hanmer Springs,21,NZ,1563762221,80,-42.52,172.83,45.83,3.51
340,Erzin,0,TR,1563762225,57,36.95,36.2,81.0,9.17
341,Yamada,75,JP,1563762226,88,36.58,137.08,82.4,4.7
342,Garissa,78,KE,1563762228,69,-0.46,39.64,71.39,15.05
343,Seoul,90,KR,1563762032,78,37.57,126.98,82.4,4.7
344,Buraydah,0,SA,1563762230,29,26.33,43.97,78.8,5.82
345,Korgen,100,NO,1563762231,76,66.08,13.83,60.01,3.36
346,Boden,83,SE,1563762232,82,65.83,21.69,59.0,2.46
347,Stephenville,90,CA,1563762234,88,48.55,-58.59,62.6,5.82
348,Komsomolskiy,100,RU,1563762236,69,67.55,63.78,58.61,14.36
349,Atasu,0,KZ,1563762237,63,48.68,71.64,71.93,21.0
350,Baruun-Urt,100,MN,1563762239,60,46.68,113.28,74.09,15.23
351,Tanakpur,0,IN,1563762240,61,29.07,80.11,89.03,3.2
352,Mount Isa,0,AU,1563762118,13,-20.73,139.49,78.8,8.05
353,Tete,40,MZ,1563762242,77,-16.16,33.59,64.4,9.17
354,Adrar,0,DZ,1563762247,16,27.87,-0.29,96.8,18.34
355,Malpe,75,IN,1563762248,94,13.35,74.72,73.4,4.7
356,Mtwara,20,TZ,1563762249,77,-10.28,40.18,68.0,18.34
357,Pacific Grove,20,US,1563762125,68,36.62,-121.92,75.99,6.93
358,Cherskiy,100,RU,1563762252,95,68.75,161.3,35.93,13.8
359,Aurillac,0,FR,1563762253,93,44.93,2.44,70.0,2.24
360,Oxbow,40,CA,1563762254,60,49.23,-102.17,71.6,6.93
361,Dzhebariki-Khaya,0,RU,1563762255,35,62.22,135.8,71.21,7.14
362,San Luis de Palenque,11,CO,1563762257,92,5.42,-71.73,72.65,2.53
363,Marsh Harbour,100,BS,1563762261,73,26.54,-77.06,84.35,11.12
364,Kuching,75,MY,1563762263,94,1.56,110.34,78.8,3.36
365,San Patricio,9,PY,1563762267,65,-26.98,-56.83,72.11,12.08
366,Marovoay,0,MG,1563762268,68,-16.11,46.64,68.0,8.05
367,Coquimbo,0,CL,1563762270,93,-29.95,-71.34,50.0,8.05
368,Otsuki,90,JP,1563762271,100,35.64,138.92,75.99,4.7
369,Linhares,100,BR,1563762274,96,-19.38,-40.06,63.47,2.3
370,Chinsali,0,ZM,1563762275,58,-10.55,32.07,55.19,12.44
371,Presidencia Roque Saenz Pena,3,AR,1563762276,52,-26.79,-60.44,78.23,11.56
372,Dunmore Town,10,BS,1563762278,75,25.5,-76.65,84.17,15.32
373,Lae,40,PG,1563762279,58,-6.72,146.98,84.2,11.41
